ProjectID,Complexiteit,Marktsegment,Gebied,Projectomschrijving,Projectmanager,Portfolio,Prognose eindstand,besteed,budget_ratio,Plandatum,Klanteis,HaalbaarheidBoolean,slack_days,risico_count,sum_ev_geld,avg_kans,n_tvps,total_tvp_hours,avg_tvp_hours,primary_geo,primary_tesi,n_taken,budget_alle_jaren
D-002069,,,Landelijk,'10 verv lokaal tel kabelnetwerk LAN,Michel Farro,Landelijk,,,,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
L-005379,Laag,,Landelijk,Aanbrengen DSV op draagconstructies 2022,Oscar Wilffert,Landelijk,198478.81,198478.81,1.0,,,,,0,0.0,0.0,0,0.0,,073,D06,20,361.09
L-005054,Laag,,Landelijk,Aanleggen en upgraden railinzetplaatsen,Jos Molenaar,Landelijk,436812.56,436812.56,1.0,,,,,0,0.0,0.0,0,0.0,,144,B66,3,438.00008
L-005184,Laag,,Landelijk,Aanpassen AHOB 2.0 Bloemendaalseweg Ovn,Roeland van Hof,Landelijk,14510.12,14510.12,1.0,,,,,0,0.0,0.0,0,0.0,,083,B69.02,1,110.0
D-002709,Laag,,Landelijk,Aanpassen ATB-EG en saneren relaiskast,Wieke Miedema - Huisman,Landelijk,3551.39,3551.39,1.0,,,,,0,0.0,0.0,0,0.0,,013,F03.03.02,1,21.0
L-004951,Laag,,Landelijk,Aanpassen beveiliging Hlm-Zvt,,Landelijk,46674.04,46674.04,1.0,,,,,0,0.0,0.0,0,0.0,,083,B65.06,1,34.5
L-005386,Laag,,Landelijk,Aanpassen remmingwerk Koegrasbrug,Rolf Schooleman,Landelijk,85581.16,85581.16,1.0,,,,,0,0.0,0.0,0,0.0,,073,B25.03,1,100.0
M-004766,Laag,,Landelijk,Aanpassen sloten laagspanningskasten EV.,Peter Bogers,Landelijk,101199.59,101199.59,1.0,,,,,0,0.0,0.0,0,0.0,,ALG,D48.02,2,100.0
M-004767,Laag,,Landelijk,Aanpassen telwerk tankinstallatie EV ZD,Henk Timmermans,Landelijk,45597.0,45597.0,1.0,,,,,0,0.0,0.0,0,0.0,,517,D39.04,2,130.0
F-FCANO0,,,Landelijk,AFCA projecten PLM Documentatie NO,,Landelijk,,,,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
B-226111,Midden,,Landelijk,Opheffen veiligheidsknelpunten 2005,Elizabet de Graaf,Landelijk,47106523.4,47106523.4,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
L-005392,,,Landelijk,ARBO-maatregelen op de Spaarnebrug Hlm,Rolf Schooleman,Landelijk,29537.94,29537.94,1.0,,,,,0,0.0,0.0,0,0.0,,527,B03.04,1,53.168
R-459200,Midden,,Landelijk,"Assen, onderdoorgang Mandemaat",,Landelijk,8751629.79,8751629.79,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
L-005034,Laag,,Landelijk,Baanlichaam en betonvoeten Obd-Hn,Jos Molenaar,Landelijk,2289437.73,2289437.73,1.0,,,,,0,0.0,0.0,0,0.0,,216,D17.08,74,2330.1
L-004933,Laag,,Landelijk,Baggeren sloten regio RN 2016,Carla de Wit,Landelijk,892656.12,892656.12,1.0,,,,,0,0.0,0.0,0,0.0,,073,A06.04,116,607.05
K-008420,,,Landelijk,BBV Ddr en MLL,,Landelijk,,,,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
D-000099,,,Landelijk,RCF Combiproject 2009,,Landelijk,,,,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
D-001760,,,Landelijk,Spoorviaducten (overloop LAND) GO 2007,,Landelijk,,,,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
